Название;Детальное описание;Максимальная цена;Ед. измерения;Доступность
Cветильник светодиодный аварийный СБА 2215DC 4+1LEG 600mAh lithium battery DC IN HOME;"Дополнительные технические характеристики:

Световой поток, Лм - 70.
Тип светодиодов - SMD.
Угол рассеяния - 120°.
Входное напряжение, В - 230.
Материал корпуса - ABS-пластик.
Материал рассеивателя - поликарбонат.
Степень защиты - IP20.
Температурный режим работы, °С - от +1 до +40.
Климатическое исполнение - УХЛ4.
Габариты, мм - 40х40х120.
Вес, кг - 0,13.";325.00;штука;нет
Cветильник светодиодный аварийный СБА 7031DC 18LEG 1.5Ah 600mAh lithium battery DC IN HOME;"Дополнительные технические характеристики:

Тип светодиодов - SMD.
Угол рассеяния - 180°.
Световой потом, Лм - 230.
Частота, Гц - 50.
Степень защиты, IP - 20.
Климатическое исполнение - УХЛ4.
Температурный режим работы, °С - от +1 до +40.
Габариты, мм - 228х66х66.
Вес, кг - 0,23.
Материал корпуса - ABS-пластик.
Материал рассеивателя - поликарбонат.
Срок службы, ч - 30000.";510.00;штука;нет
Cветильник светодиодный СПБ-2-КРУГ 10 ВТ 230В 6500К 800лм 155мм белый IN HOME;"Светодиодный светильник СПБ-2-КРУГ ТМ IN HOME – осветительный прибор с современными светодиодами SMD, предназначенный для общественного и бытового освещения. Светильник станет идеальным решением для при локального и общего освещения вестибюлей, холлов, санузлов и других второстепенных помещений. На плафоне имеется специальная защелка, помогающая легко открыть корпус. Предназначен для накладного монтажа. Средний срок службы – не менее 30 тысяч часов. Отличается: низким энергопотреблением, высокими техническими характеристиками, компактностью, лаконичным дизайном, экологической чистотой, приятным ровным свечением без пульсаций.


Высота Упаковки, мм	33
Длина Упаковки, мм	155
Ширина Упаковки, мм	155
Вес единицы, кг	0,142
Материал корпуса	Пластик
Степень защиты	IP40
Мощность (Вт)	10
Цвет корпуса	Белый
Цветовая температура (К)	6500";560.00;штука;нет
Cветильник светодиодный СПБ-2-КРУГ 20 ВТ 230В 6500К 1400лм 250мм белый IN HOME;"Светодиодный светильник СПБ-2-КРУГ ТМ IN HOME – осветительный прибор с современными светодиодами SMD, предназначенный для общественного и бытового освещения. Светильник станет идеальным решением для при локального и общего освещения вестибюлей, холлов, санузлов и других второстепенных помещений. На плафоне имеется специальная защелка, помогающая легко открыть корпус. Предназначен для накладного монтажа. Средний срок службы – не менее 30 тысяч часов. Отличается: низким энергопотреблением, высокими техническими характеристиками, компактностью, лаконичным дизайном, экологической чистотой, приятным ровным свечением без пульсаций.

Высота Упаковки, мм	41
Длина Упаковки, мм	250
Ширина Упаковки, мм	250
Вес единицы, кг	0,25
Материал корпуса	Пластик
Степень защиты	IP40
Мощность (Вт)	20
Цвет корпуса	Белый
Цветовая температура (К)	6500";515.00;штука;нет
Cветильник светодиодный СПБ-2-КРУГ 24 ВТ 230В 6500К 1700лм 310мм белый IN HOME;Светодиодный светильник СПБ-2-КРУГ ТМ IN HOME – осветительный прибор с современными светодиодами SMD, предназначенный для общественного и бытового освещения. Светильник станет идеальным решением для при локального и общего освещения вестибюлей, холлов, санузлов и других второстепенных помещений. На плафоне имеется специальная защелка, помогающая легко открыть корпус. Предназначен для накладного монтажа. Средний срок службы – не менее 30 тысяч часов. Отличается: низким энергопотреблением, высокими техническими характеристиками, компактностью, лаконичным дизайном, экологической чистотой, приятным ровным свечением без пульсаций.;775.00;штука;нет
Cветильник(ЛЛ)2х36Вт плоск./с ламп.дн.без выкл./бел.1249х134х42 (ЭПРА) CAMELION;"Макс. мощность: 2х36 Вт
Тип колбы лампы: Т8
Цветовая температура лампы: 6500К (,дневная),
Цоколь: G13
Напряжение: 220-240В
Рабочая температура: 0-60 град
Влагозащита: нет (,IP20),
Копрпус светильника из алюминиевого сплава, пластик.
Материал не поддерживает горение.
Двойная изоляция, защитное заземление не требуется.
Комплектция: - лампы,
- крепеж.
Светильник пригоден только для бытового применения внутри помещений.
Допускается монтаж на материалы, воспламеняемость которого неизвестна.
Температура на поверхности крепления не более 115 градС.
Блок управления/ ПРА в комплекте	Да
Вид растра/решетки	Нет (без)
Высота/глубина	42 мм
Выход светового потока	Прямой
Длина	1249 мм
Импульсно-зажигающее устройство (ИЗУ)	Не требуется
Категория цветности света	Холодная дневного света (>5300 К)
Класс защиты	I
Количество ламп (источников света)	2
Материал корпуса	Сталь
Материал плафона/рассеивателя	Пластик структурированный
Мощность лампы	72 Вт
Номин. напряжение	220...230 В
Отражатель (рефлектор)	Нет (без)
Подходит для монтажа на стену	Да
С ламп. в комплекте	Да
Светораспределение	Симметричный (-ое)
Средн. номин. срок службы	10000 ч
Степень защиты (IP)	IP20
Тип лампы	Люминесцентная лампа D=26 мм (T8)
Тип светильника	Светильник с плафоном/рассеивателем
Тип устройства управления (ПРА/трансформатора)	ЭПРА (электронный)
Цвет корпуса	Белый
Цвет плафона/рассеивателя	Белый
Цоколь (патрон) лампы	G13
Ширина	134 мм
Гарантия	12 мес.";645.00;штука;нет
Cветодиодный светильник BT Круг 22Вт с ДД/6500K/IP65 (SBL-BTR22-65ms);"
Датчик движения	Да
Световой поток (лм)	1760
Мощность (Вт)	22
Питание	Сеть 220-230 В
Датчик аккустический	Нет
Цветовая температура	Холодный от 5501К
Влагозащищенность	IP65
Цоколь	Интегрированный
Тип источника света	Светодиодный
Размеры	178 х 41 мм
";465.00;штука;нет
Cветодиодный светильник BT Круг 22Вт/6500K/IP65 (SBL-BTR22-65);"Светильник Smartbuy типа`ВТ с датчиком движения предназначен для работы в сложных эксплуатационных условиях. Главной отличительной чертой изделия является его исключительная влагостойкость IP65, что позволяет использовать его в банях, саунах, ванных комнатах. Часто прибор применяется для освещения промышленных объектов, лестничных клеток, фасадов различных зданий.

    Отсутствие мерцания обеспечивает меньшую утомляемость глаз. Большой срок службы — 30 000 часов работы. Широкий рабочий температурный режим от -25° до +45°С. Не содержит ртуть, экологически безопасна.";260.00;штука;нет
Cветодиодный светильник BT Круг 30Вт с ДД/6500K/IP65 (SBL-BTR30-65ms);"Светильник Smartbuy типа`ВТ с датчиком движения предназначен для работы в сложных эксплуатационных условиях. Главной отличительной чертой изделия является его исключительная влагостойкость IP65, что позволяет использовать его в банях, саунах, ванных комнатах. Часто прибор применяется для освещения промышленных объектов, лестничных клеток, фасадов различных зданий.

Отсутствие мерцания обеспечивает меньшую утомляемость глаз. Большой срок службы — 30 000 часов работы. Широкий рабочий температурный режим от -25° до +45°С. Не содержит ртуть, экологически безопасна.";735.00;штука;нет
Cветодиодный светильник BT Круг 30Вт/6500K/IP65 (SBL-BTR30-65);Светильник Smartbuy типа`ВТ предназначен для работы в сложных эксплуатационных условиях. Главной отличительной чертой изделия является его исключительная влагостойкость IP65, что позволяет использовать его в банях, саунах, ванных комнатах. Часто прибор применяется для освещения промышленных объектов, лестничных клеток, фасадов различных зданий.;435.00;штука;нет
